Date,Symbol,Entry,Exit,Score,Result,PnL_Pct,Balance,Profit_Cash
0,AXPH,183.23,201.553,0.7,TARGET HIT 🎯,0.1,110000,1000.0
0,GGRN,1.66,1.577,0.63,STOP LOSS ❌,-0.05,95000,-500.0
0,WATP,3.91,4.301,0.95,TARGET HIT 🎯,0.1,110000,1000.0
0,DTPP,35.98,39.578,0.97,TARGET HIT 🎯,0.1,110000,1000.0
0,SCTS,76.949997,73.10249714999999,0.8,STOP LOSS ❌,-0.05,95000,-500.0
0,KWIN,15.51,17.061,0.97,TARGET HIT 🎯,0.1,110000,1000.0
0,GTHE,2.08,1.976,0.66,STOP LOSS ❌,-0.05,95000,-500.0
0,SCFM,34.200001,37.6200011,0.94,TARGET HIT 🎯,0.1,110000,1000.0
1,MAAL,1.6,1.7600000000000002,0.67,TARGET HIT 🎯,0.1,110000,1000.0
1,EITP,5.0,5.5,0.95,TARGET HIT 🎯,0.1,110000,1000.0
1,SAUD,9.9,10.89,0.89,TARGET HIT 🎯,0.1,110000,1000.0
1,DSCW,0.636667,0.7003337000000001,0.62,TARGET HIT 🎯,0.1,110000,1000.0
1,SCFM,36.0,39.6,0.95,TARGET HIT 🎯,0.1,121000,1000.0
1,PACH,36.0,39.6,0.96,TARGET HIT 🎯,0.1,110000,1000.0
1,SVCE,2.069,2.2759,0.63,TARGET HIT 🎯,0.1,110000,1000.0
1,KWIN,15.7,17.27,0.89,TARGET HIT 🎯,0.1,121000,1000.0
1,DTPP,35.5,39.050000000000004,0.95,TARGET HIT 🎯,0.1,121000,1000.0
1,OCPH,92.0,87.39999999999999,0.61,STOP LOSS ❌,-0.05,95000,-500.0
1,SCTS,76.989998,73.1404981,0.84,STOP LOSS ❌,-0.05,90250,-500.0
2,NCGC,60.0,66.0,0.96,TARGET HIT 🎯,0.1,110000,1000.0
2,ACAP,0.55,0.6050000000000001,0.62,TARGET HIT 🎯,0.1,110000,1000.0
2,GGRN,1.41,1.3395,0.66,STOP LOSS ❌,-0.05,90250,-500.0
2,KRDI,1.46,1.606,0.62,TARGET HIT 🎯,0.1,110000,1000.0
2,DTPP,38.400002,36.4800019,0.76,STOP LOSS ❌,-0.05,114950,-500.0
2,KABO,2.619761,2.8817371,0.62,TARGET HIT 🎯,0.1,110000,1000.0
2,MEPA,0.987,1.0857,0.62,TARGET HIT 🎯,0.1,110000,1000.0
2,SCTS,76.68,84.34800000000001,0.82,TARGET HIT 🎯,0.1,99275,1000.0
2,SCFM,35.0,38.5,0.92,TARGET HIT 🎯,0.1,133100,1000.0
3,SCFM,34.5,37.95,0.96,TARGET HIT 🎯,0.1,146410,1000.0
3,KABO,2.782959,2.64381105,0.61,STOP LOSS ❌,-0.05,104500,-500.0
3,DCRC,18.01,17.1095,0.66,STOP LOSS ❌,-0.05,95000,-500.0
3,SCTS,76.459999,84.1059989,0.78,TARGET HIT 🎯,0.1,109202,1000.0
3,EALR,32.5,30.875,0.61,STOP LOSS ❌,-0.05,95000,-500.0
3,NCGC,60.0,57.0,0.96,STOP LOSS ❌,-0.05,104500,-500.0
3,PACH,39.8,43.78,0.94,TARGET HIT 🎯,0.1,121000,1000.0
3,EGREF,10.11,11.121,0.97,TARGET HIT 🎯,0.1,110000,1000.0
3,ADPC,1.867,2.0537,0.62,TARGET HIT 🎯,0.1,110000,1000.0
4,NHPS,31.299999,34.4299989,0.84,TARGET HIT 🎯,0.1,110000,1000.0
4,SCTS,75.0,82.5,0.93,TARGET HIT 🎯,0.1,120122,1000.0
4,OFH,0.366,0.4026,0.61,TARGET HIT 🎯,0.1,110000,1000.0
4,NCGC,55.01,52.259499999999996,0.96,STOP LOSS ❌,-0.05,99275,-500.0
4,KABO,2.800138,2.6601311,0.61,STOP LOSS ❌,-0.05,99275,-500.0
4,SCFM,36.25,39.875,0.96,TARGET HIT 🎯,0.1,161051,1000.0
4,EGREF,10.35,11.385,0.97,TARGET HIT 🎯,0.1,121000,1000.0
5,KASABF,2.14,2.3540000000000005,0.66,TARGET HIT 🎯,0.1,110000,1000.0
5,EITP,5.0,5.5,0.96,TARGET HIT 🎯,0.1,121000,1000.0
5,DCRC,14.06,13.357,0.96,STOP LOSS ❌,-0.05,90250,-500.0
5,FERC,84.98,80.731,0.61,STOP LOSS ❌,-0.05,95000,-500.0
5,SVCE,2.1,2.3100000000000005,0.63,TARGET HIT 🎯,0.1,121000,1000.0
5,SCTS,75.199997,82.7199967,0.94,TARGET HIT 🎯,0.1,132135,1000.0
5,SCFM,35.110001,38.6210011,0.92,TARGET HIT 🎯,0.1,177156,1000.0
5,ACAP,0.58,0.638,0.62,TARGET HIT 🎯,0.1,121000,1000.0
5,GTHE,1.82,2.0020000000000002,0.69,TARGET HIT 🎯,0.1,104500,1000.0
5,ADPC,2.09,2.299,0.64,TARGET HIT 🎯,0.1,121000,1000.0
5,EGREF,11.14,10.583,0.97,STOP LOSS ❌,-0.05,114950,-500.0
6,KABO,3.006283,2.8559688499999996,0.62,STOP LOSS ❌,-0.05,94311,-500.0
6,DSCW,0.754667,0.71693365,0.61,STOP LOSS ❌,-0.05,104500,-500.0
6,KRDI,1.467,1.6137000000000001,0.6,TARGET HIT 🎯,0.1,121000,1000.0
6,OCPH,94.010002,103.41100220000001,0.62,TARGET HIT 🎯,0.1,104500,1000.0
6,LUTS,0.442133,0.42002635,0.62,STOP LOSS ❌,-0.05,95000,-500.0
6,SCTS,75.389999,82.92899890000001,0.89,TARGET HIT 🎯,0.1,145348,1000.0
6,ICID,4.44,4.218,0.65,STOP LOSS ❌,-0.05,95000,-500.0
6,AALR,53.720001,51.03400095,0.66,STOP LOSS ❌,-0.05,95000,-500.0
6,MEPA,1.094,1.2034000000000002,0.7,TARGET HIT 🎯,0.1,121000,1000.0
6,EGREF,10.3,11.330000000000002,0.96,TARGET HIT 🎯,0.1,126445,1000.0
6,SCFM,35.299999,33.534999049999996,0.95,STOP LOSS ❌,-0.05,168298,-500.0
6,ATQA,3.01,3.311,0.65,TARGET HIT 🎯,0.1,110000,1000.0
6,ALEX,11.8,11.21,0.76,STOP LOSS ❌,-0.05,95000,-500.0
6,SVCE,2.15,2.365,0.62,TARGET HIT 🎯,0.1,133100,1000.0
7,ADPC,2.25,2.475,0.67,TARGET HIT 🎯,0.1,133100,1000.0
7,NCGC,52.11,57.321000000000005,0.96,TARGET HIT 🎯,0.1,109202,1000.0
7,EGREF,11.15,10.5925,0.88,STOP LOSS ❌,-0.05,120122,-500.0
7,SVCE,2.29,2.519,0.64,TARGET HIT 🎯,0.1,146410,1000.0
7,SCTS,72.769997,80.04699670000001,0.96,TARGET HIT 🎯,0.1,159883,1000.0
